Dataset name: masked_with_unmasked_dataset,Model: Models/Embeddings_based/NN_1024_768_300/Without_Unmasked/Masked/model.pth,Accuracy: 0.0465,Precision: 0.0465,Recall: 0.0465,F1 Score: 0.0465,"Confusion Matrix:
[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]
"
Dataset name: masked_with_unmasked_dataset,Model: Models/Embeddings_based/NN_1024_768_300/With_Unmasked/Augmented_Masked/model.pth,Accuracy: 0.0005,Precision: 0.0005,Recall: 0.0005,F1 Score: 0.0005,"Confusion Matrix:
[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]
"
Dataset name: masked_with_unmasked_dataset,Model: Models/Embeddings_based/NN_1024_768_300/Without_Unmasked/Augmented_Masked/model.pth,Accuracy: 0.001,Precision: 0.001,Recall: 0.001,F1 Score: 0.001,"Confusion Matrix:
[[1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]
"
Dataset name: masked_with_unmasked_dataset,Model: Models/Input_ids_based/NN_1024_768_300/Unmasked/model.pth,Accuracy: 0.7205,Precision: 0.7205,Recall: 0.7205,F1 Score: 0.7205,"Confusion Matrix:
[[1 0 0 ... 0 0 0]
 [0 1 0 ... 0 0 0]
 [0 0 1 ... 0 0 0]
 ...
 [0 0 0 ... 2 0 0]
 [0 0 0 ... 0 1 0]
 [0 0 0 ... 0 0 1]]
"
Dataset name: masked_with_unmasked_dataset,Model: Models/Input_ids_based/NN_1024_768_300/With_Unmasked/Masked/model.pth,Accuracy: 0.001,Precision: 0.001,Recall: 0.001,F1 Score: 0.001,"Confusion Matrix:
[[1 1 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]
"
Dataset name: masked_with_unmasked_dataset,Model: Models/Input_ids_based/NN_1024_768_300/Without_Unmasked/Masked/model.pth,Accuracy: 0.296,Precision: 0.296,Recall: 0.296,F1 Score: 0.296,"Confusion Matrix:
[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]]
"
Dataset name: masked_with_unmasked_dataset,Model: Models/Input_ids_based/NN_1024_768_300/With_Unmasked/Augmented_Masked/model.pth,Accuracy: 0.0005,Precision: 0.0005,Recall: 0.0005,F1 Score: 0.0005,"Confusion Matrix:
[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]
"
Dataset name: masked_with_unmasked_dataset,Model: Models/Input_ids_based/NN_1024_768_300/Without_Unmasked/Augmented_Masked/model.pth,Accuracy: 0.001,Precision: 0.001,Recall: 0.001,F1 Score: 0.001,"Confusion Matrix:
[[1 1 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]
"
Dataset name: masked_without_unmasked_dataset,Model: Models/Embeddings_based/NN_1024_768_300/Unmasked/model.pth,Accuracy: 0.103,Precision: 0.103,Recall: 0.103,F1 Score: 0.103,"Confusion Matrix:
[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]
"
Dataset name: masked_without_unmasked_dataset,Model: Models/Embeddings_based/NN_1024_768_300/With_Unmasked/Masked/model.pth,Accuracy: 0.0,Precision: 0.0,Recall: 0.0,F1 Score: 0.0,"Confusion Matrix:
[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]
"
